Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Croatia,HRV,22008593690,27806315652,33768076057,37774337640,41453537052,49540326060,57132115296,49853427967,47877738661,50280594996,45644341527,48107944210,47631932698,41917935646,42606892332,46650790624,51808703413,51948450711,49110186108,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cuba,CUB,29228415540,31317076045,33131224831,37121751926,46090660862,49800887149,52231293081,53368192828,54899126251,59101254585,62888785109,66689667807,69804372262,76021780410,79563872860,84093253558,86531262188,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cyprus,CYP,9446983022,12223373126,14291333088,15318517848,16655696818,19741633426,24201889566,22789169997,22241936690,24932444198,21665551003,20374326428,19318689094,17036023390,17485823873,19458851582,21562723348,21501178248,20121095279,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Czechia,CZE,61847799005,75492261240,89164397399,1.03579E+11,1.16304E+11,1.40855E+11,1.74276E+11,1.49518E+11,1.48657E+11,1.61991E+11,1.50189E+11,1.52263E+11,1.50437E+11,1.3595E+11,1.42456E+11,1.61932E+11,1.85166E+11,1.86271E+11,1.83714E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Denmark,DNK,1.43792E+11,1.7606E+11,2.0585E+11,2.18484E+11,2.34402E+11,2.61919E+11,2.86485E+11,2.62255E+11,2.66061E+11,2.85373E+11,2.7295E+11,2.90823E+11,3.03434E+11,2.60236E+11,2.68192E+11,2.8326E+11,3.06187E+11,2.98859E+11,3.07119E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Djibouti,DJI,582058696.4,615652160.3,656032824.2,692369724.4,742990795.7,789854923.9,913758146.6,902769131.9,902109702.2,1012788862,1113441160,1579259563,1862422122,2086282013,2151017296,2203893381,2536692718,2844089801,2921776635,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Dominica,DMA,282204246.2,292864781.5,307065924.7,307168907,342166016.5,363893311.4,395733825.7,411145087.6,412451459.9,400709489,390416329.4,393811691.8,475405272.1,437023664.9,479619344.6,433378236.6,469125014.9,509670177.9,440043846,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Dominican Republic,DOM,25248918619,18942584529,19278376423,32205605485,33968725822,39148815819,44369976449,44550378228,49567129607,53218925204,55575154940,56448899016,60363809076,64843780695,68596171045,71757805344,76692163992,79217838517,69413648361,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Ecuador,ECU,22339436796,25412069599,27241786346,30125253239,33634397769,37016990857,45375516495,49751655951,54658793198,61537315195,69293934238,76064556551,80912349392,80339165388,79911381321,82357698986,82527788259,82010491811,73821637108,..
