Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,65.243,68.662,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,77.3804878,80.87804878,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878,84.93414634,85.07804878,85.38780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,69.31560976,71.24634146,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122,75.61707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,78.03634146,79.65365854,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463,83.06585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,58.652,62.669,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,63.181,66.433,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,64.367,69.691,74.186,74.449,74.782,75.124,75.6,75.971,76.195,76.103,74.832,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,58.435,66.817,68.023,68.253,68.914,69.44,68.988,70.413,71.514,71.576,69.123,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,74.84607317,76.53658537,80.84634146,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902,82.20487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,71.959,74.725,79.337,79.473,80.037,78.905,80.314,80.457,80.596,80.737,80.588,..
