,Country Name,Country Code,NetIncomeMean,GdpMean,InflMean,LifeExpMean,SuicideMean,UnempMean
121,Slovak Republic,SVK,78268260960.6,97272309783.4,17780176627.39411,77.16536585399999,12.260000000000002,8.313999938399999
122,Slovenia,SVN,38366504852.6,48994559953.2,8621501205.748648,81.177560976,19.7,6.6159999848
123,Solomon Islands,SLB,1295498217.4,1478362340.2,261581615.2195006,69.9854,15.02,0.7236000060000001
124,South Africa,ZAF,302916400000.0,368887400000.0,69342000004.07861,65.18960000000001,24.34,26.822000124
125,Spain,ESP,1110304000000.0,1311796000000.0,239232000000.8256,83.341463416,7.88,17.651999664
126,Sri Lanka,LKA,76142409861.0,90207662081.0,17028192710.865292,75.48339999999999,14.5,4.296000004
127,St. Lucia,LCA,1488088707.6,1964133418.4,361445442.9001502,73.23580000000001,7.979999999999999,18.694200132
128,St. Vincent and the Grenadines,VCT,647841090.26,848590992.6,157310919.5681819,73.991,1.2,19.168400194000004
129,Sweden,SWE,448969600000.0,530222600000.0,101020800001.3033,82.51804878200001,14.98,6.865999889399999
130,Switzerland,CHE,544407600000.0,704830400000.0,138823600000.2797,83.54195122,14.54,4.7240000724
131,Tanzania,TZA,45989243236.8,53722763175.2,9475720760.290443,65.91199999999999,4.220000000000001,2.1811999798
132,Thailand,THA,358156800000.0,464371000000.0,80259200000.52489,78.35940000000001,8.5,0.722000003
133,Togo,TGO,5468357112.8,6188113378.4,836173235.7838051,60.049,9.1,3.2708000662
134,Tonga,TON,442626873.04,463777314.54,87401248.70137165,70.72619999999999,4.14,2.8131999968000003
135,Trinidad and Tobago,TTO,18922674843.4,24463557990.4,5370394052.194033,74.20880000000001,9.44,3.1348000048
136,Tunisia,TUN,39600382709.6,43379376781.2,9156015502.193184,75.8532,3.16,15.328000068
138,Uganda,UGA,25296464546.8,32123146555.8,6477436772.279939,62.110800000000005,4.5600000000000005,1.9221999882
139,Ukraine,UKR,103146510821.8,116250390616.8,18206191900.43792,71.57136585399999,21.42,8.996000099
140,United States,USA,16846920000000.0,19658500000000.0,3641200000001.529,78.63902439,15.439999999999998,4.4160000802
141,Uruguay,URY,48035564477.0,60098222344.4,10654860850.669209,77.5596,20.58,8.0880000114
142,Vanuatu,VUT,796936032.2,848617108.72,146174118.14401588,69.709,18.08,1.7986000062000005
143,Vietnam,VNM,178122200000.0,284435800000.0,47851600002.5048,73.96920000000001,7.640000000000001,1.7539999964
144,Zambia,ZMB,18444390990.8,23540697735.2,4250243368.018387,62.0514,8.219999999999999,11.431400107999998
