,Unnamed: 0,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean,Happiness score
201,201.0,Low income,LIC,62.50883898000001,6.1199189156000005,5.0561073466,
202,202.0,Lower middle income,LMC,68.807944924,8.5039720758,5.2010435992,
203,203.0,Middle East & North Africa,MEA,73.48448258200001,4.4762521276000005,10.0019672476,
204,204.0,Middle East & North Africa (excluding high income),MNA,72.62759413,4.2564002642,11.690666072000004,
205,205.0,Middle income,MIC,71.92726221800001,8.779416609399998,5.539192088199999,
206,206.0,North America,NAC,78.975739398,15.125264552,4.628795639200001,
207,207.0,OECD members,OED,79.969257308,12.218474182,6.013405820400001,
208,208.0,Other small states,OSS,68.16775945600001,14.649591179999998,10.418152889999998,
209,209.0,Pacific island small states,PSS,69.125327672,13.825821991999998,2.8856099678,
210,210.0,Post-demographic dividend,PST,80.613006458,14.606034812,5.869652654799999,
211,211.0,Pre-demographic dividend,PRE,59.93407876399999,5.649103127799999,5.8414538052,
212,212.0,Small states,SST,69.015755086,13.695455866,9.8381311656,
213,213.0,South Asia,SAS,69.891357706,10.962984034,5.1068234774,
214,214.0,South Asia (IDA & IBRD),TSA,69.891357706,10.962984034,5.1068234774,
215,215.0,Sub-Saharan Africa,SSF,60.443288978,7.163217125999999,6.3145086044,
216,216.0,Sub-Saharan Africa (excluding high income),SSA,60.442071618,7.163130329,6.3145086044,
217,217.0,Upper middle income,UMC,76.02881414999999,9.1331472562,5.863695022,
218,218.0,World,WLD,72.54917057799999,9.297411091,5.5223481298,
219,,Luxembourg*,,,,,7.404
220,,Czechia,,,,,6.92
221,,Taiwan Province of China,,,,,6.512
222,,Kosovo,,,,,6.455
223,,Slovakia,,,,,6.391
224,,Guatemala*,,,,,6.262
225,,Kuwait*,,,,,6.106
226,,South Korea,,,,,5.935
227,,Kyrgyzstan,,,,,5.828
228,,Belarus*,,,,,5.821
229,,Turkmenistan*,,,,,5.474
230,,North Cyprus*,,,,,5.467
231,,Russia,,,,,5.459
232,,Hong Kong S.A.R. of China,,,,,5.425
233,,Libya*,,,,,5.33
234,,Ivory Coast,,,,,5.235
235,,Azerbaijan*,,,,,5.173
236,,Gambia*,,,,,5.164
237,,Laos,,,,,5.14
238,,Liberia*,,,,,5.122
239,,Congo,,,,,5.075
240,,Niger*,,,,,5.003
241,,Venezuela,,,,,4.925
242,,Iran,,,,,4.888
243,,Turkey,,,,,4.744
244,,Comoros*,,,,,4.609
245,,Palestinian Territories*,,,,,4.483
246,,"Eswatini, Kingdom of*",,,,,4.396
247,,Madagascar*,,,,,4.339
248,,Egypt,,,,,4.288
249,,Chad*,,,,,4.251
250,,Yemen*,,,,,4.197
251,,Mauritania*,,,,,4.153
252,,Lesotho*,,,,,3.512
253,,Botswana*,,,,,3.471
254,,Rwanda*,,,,,3.268
