Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,1.00846E+11,1.10202E+11,1.24749E+11,1.43534E+11,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11,3.01255E+11,3.19112E+11,3.58792E+11,3.65175E+11,3.37338E+11,3.72981E+11
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4109424800,4379136462,4754175869,5300962660,5609400722,3746321936,5405576236
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,3908121459,4714072191,5454249457,6247515450,6905934548,8156469133,9838404005,10231962891,10689167195,12995113407,12442036265,13242691430,14364937997,13104764334,14026048691,15365711725,17070866299,17280251194,17465392916,19140461606
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,4693495693,5489359281,6116591928,6407287651,6778321415,7925403778,9090376446,8696304529,9035927350,9638919822,9462289606,10551600478,11626278730,11091423499,11668253265,13489380931,15298771847,15725847979,14933066819,17364044944
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,131738200,131398500,132934600,137666300,142745200,149870000,145969100,150624900,160318500,171567100,179855800,185468000,185172900,182997300,200716000,212701200,219330300,232092300,241722400,259538700
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1777058593,2051147607,2362501023,2936019526,3919577286,4346206809,5206444407,4714592493,5628882266,6764635687,6728208836,7223063170,6592537782,6166857629,6398738829,6800141922,7473550557,8066126312,8405491202,9996249658
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,4841310240,5816553827,6578844486,6488750453,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12292957324,13074137210,12007291046,12594149441,13713509312,14735695931,14436353898,11401050655,11529042672
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.26901E+12,1.09052E+12,1.27284E+12
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412000000,408000000,404028900
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,1661818168,1980907435,2598249556,2988348836,3408244549,4401189466,6054849885,5439422031,6974982393,8414351672,8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,11859730544,13679221333
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,2968987019,3601321065,4137913500,4203084194,4582988333,5867916781,6476490406,5451653237,5367625613,6088808463,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7194024563,7383745662,6739691605,8596096984
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11619892396,11181350461,11480847745,13178094459,14206359007,13312981595,15286441818
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4466039315,4594024180,4054712083,4377033429,4856632399,5506766651,5542053845,4769860741,5861268039
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.0137E+11,98266306615,1.06826E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21348E+11,1.42866E+11
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,5677003239,6303391144,7631120533,8542070110,9176889070,10450843291,12556195189,11914471497,11104648673,14381552433,16350804543,16974320551,17716084108,15950969019,11936999283,13219084261,14845402474,15390039242,14028811072,15776758633
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,6110632858,7754647428,9390855298,10588433069,11863016315,15591182545,23013015832,29455165595,37796052939,54118601975,58318677645,60572257122,63264892768,63045305229,60291736894,61449392056,67144725831,68697759361,78930257227,65091751273
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,3349184760,4926471294,6609198833,7248394160,8001779551,8839526452,8607475308,8938868165,11431334447,12523402329,13042007432,12043276401,12435416063,11335179561,10721994676,12895153157,13682062251,12541928105,10581585630,12310595844
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,..,..,..,..,..,..,..,..,47564520.39,66055407.67,96927201.48,98491843.64,104654365.2,86529661.37,99723394.96,109359680.2,124021393.7,118724073.8,114626625.6,133218896.9
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,6050875807,6330473097,7273938315,8130258041,9043715356,10325618017,12545438605,12854985464,16002656434,21573862467,21703106502,22162208956,22731602970,24360795411,24524098185,28971589213,33111525872,34186190996,33433670512,36288830373
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,4.73862E+11,5.8007E+11,6.5838E+11,6.85348E+11,7.33955E+11,8.48559E+11,9.5187E+11,8.71519E+11,8.47381E+11,9.05271E+11,8.38923E+11,8.77173E+11,8.92168E+11,7.65573E+11,7.8406E+11,8.3387E+11,9.14043E+11,9.10194E+11,9.09793E+11,1.01285E+12
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,3740057133,4915355784,5895011252,6238632284,6979153332,8819922042,9067623001,8704436169,9364347372,10351442209,9659153061,10151385306,10635039739,8738205837,8724570250,9173668102,9846922416,9438130987,9435529927,10071351960
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,66627729311,88250885550,1.03905E+11,1.1472E+11,1.11539E+11,1.37189E+11,1.33131E+11,1.21374E+11,1.46518E+11,1.68291E+11,1.76207E+11,1.90907E+11,2.01313E+11,1.78064E+11,1.88838E+11,2.06624E+11,2.11953E+11,2.13435E+11,2.11735E+11,2.49886E+11
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,5224213018,5322454926,5795568205,6321335612,6763361733,7423313549,8496946608,8298679909,8758639096,9774307336,10532006608,10982979274,11880434071,12756706583,13286083645,13785909906,13025239912,12596636042,12586970511,14013022092
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,2782192987,3394084885,3760443966,4383315657,4756361480,5731485267,7297600897,7352131669,7851191899,8772951262,9426913349,10224897935,10862944204,9683867894,10398862245,11185102400,12808660528,12916455161,13744174690,14915001427
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,95054094655,1.04739E+11,1.35765E+11,1.75671E+11,2.38455E+11,2.78261E+11,3.39476E+11,2.95009E+11,3.66991E+11,4.14467E+11,4.63971E+11,5.20117E+11,5.74184E+11,4.93027E+11,4.04649E+11,3.75746E+11,4.21739E+11,4.4812E+11,4.32199E+11,4.40834E+11
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,4018365247,4946292775,5682788267,6258600714,6861222332,8336478142,9909548411,9401731496,9407168702,10494632699,9745251126,10817712139,11362272838,10064515432,10672471861,11307058382,12683070061,12606338449,12363580535,13825049832
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1302000000,1182000000,..,..
