,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean
99,Mali,MLI,59.0566,4.159999999999999,7.5159999846000005
100,Malta,MLT,82.400975612,6.12,4.2700000286
101,Mauritania,MRT,65.0666,3.0599999999999996,10.303399848
102,Mauritius,MUS,74.38297560999999,8.76,6.7459999084
103,Mexico,MEX,74.2898,5.5600000000000005,3.6699999808
104,Moldova,MDA,70.22,15.219999999999999,4.4059999468
105,Mongolia,MNG,70.5242,19.160000000000004,5.855800056600001
106,Montenegro,MNE,76.57999999799999,20.96,16.323999978
107,Morocco,MAR,73.624,7.220000000000001,9.3093999862
108,Mozambique,MOZ,59.730399999999996,13.6,3.4500000477999997
109,Myanmar,MMR,66.0328,3.04,0.9753999949999999
110,Namibia,NAM,62.0672,10.559999999999999,21.153599930000002
111,Nepal,NPL,68.7358,8.7,3.1151999952000002
112,Netherlands,NLD,81.751219512,11.8,4.9860000612
113,New Zealand,NZL,81.65873170799999,11.799999999999999,4.7479999542
114,Nicaragua,NIC,73.5394,4.38,4.4621999262
115,Niger,NER,62.0446,5.32,0.5409999966
116,Nigeria,NGA,52.330600000000004,3.6,7.349200057999999
117,North Macedonia,MKD,76.001463414,9.32,22.033999631999997
118,Norway,NOR,82.60780488,12.2,4.125999974999999
119,Oman,OMN,77.899,4.8,2.575
120,Pakistan,PAK,66.2224,9.0,3.7773999689999997
121,Panama,PAN,77.7178,3.04,3.7315999507999997
122,Papua New Guinea,PNG,65.06,2.9400000000000004,2.4959999562
123,Paraguay,PRY,73.5116,5.82,5.446000004
124,Peru,PER,75.8908,2.72,3.5140000344
125,Philippines,PHL,71.545,2.22,2.5799999714000004
126,Poland,POL,77.712682926,13.4,5.1359999177999995
127,Portugal,PRT,81.33463414399999,11.959999999999999,9.165999793000001
128,Qatar,QAT,80.62039999999999,5.92,0.1340000018
129,Romania,ROU,75.27951219600001,10.34,5.1480000018
130,Russian Federation,RUS,72.206439022,28.68,5.138000011600001
131,Rwanda,RWA,65.9328,5.640000000000001,1.1276000024000001
132,Samoa,WSM,72.4876,12.66,8.495600128
133,Sao Tome and Principe,STP,67.9772,1.5,13.97880001
134,Saudi Arabia,SAU,77.1316,6.18,5.768599987
135,Senegal,SEN,67.74980000000001,6.2,4.2090000628
136,Serbia,SRB,75.668292684,10.98,13.903999899999999
137,Sierra Leone,SLE,58.8592,6.34,4.6754000664
138,Singapore,SGP,83.11560975600001,9.540000000000001,3.7625998974
139,Slovak Republic,SVK,77.16536585399999,12.260000000000002,8.313999938399999
140,Slovenia,SVN,81.177560976,19.7,6.6159999848
141,Solomon Islands,SLB,69.9854,15.02,0.7236000060000001
142,Somalia,SOM,55.80160000000001,7.959999999999999,18.870399856
143,South Africa,ZAF,65.18960000000001,24.339999999999996,26.822000124
144,South Sudan,SSD,55.65619999999999,3.7399999999999998,12.257399942
